DATE,DGS1,DGS10
1/1/1962,3.279545455,4.083181818
2/1/1962,3.283888889,4.039444444
3/1/1962,3.058181818,3.930454545
4/1/1962,2.9875,3.843
5/1/1962,3.025909091,3.873636364
6/1/1962,3.028095238,3.909047619
7/1/1962,3.29047619,4.014285714
8/1/1962,3.199130435,3.975652174
9/1/1962,3.060526316,3.978947368
10/1/1962,2.975,3.925454545
11/1/1962,3.002105263,3.915789474
12/1/1962,3.006,3.8645
1/1/1963,3.038636364,3.833636364
2/1/1963,3.010555556,3.921111111
3/1/1963,3.031428571,3.928571429
4/1/1963,3.114761905,3.970952381
5/1/1963,3.117272727,3.93
6/1/1963,3.197,3.993
7/1/1963,3.475,4.020454545
8/1/1963,3.533636364,4.002272727
9/1/1963,3.574,4.0775
10/1/1963,3.639565217,4.106086957
11/1/1963,3.740588235,4.121764706
12/1/1963,3.811428571,4.128571429
1/1/1964,3.792272727,4.166818182
2/1/1964,3.782222222,4.145555556
3/1/1964,3.912857143,4.21952381
4/1/1964,3.91,4.232272727
5/1/1964,3.839,4.2
6/1/1964,3.833181818,4.17
7/1/1964,3.715,4.185909091
8/1/1964,3.743809524,4.193809524
9/1/1964,3.84047619,4.203809524
10/1/1964,3.863809524,4.188095238
11/1/1964,3.907777778,4.152777778
12/1/1964,4.021818182,4.179545455
1/1/1965,3.942,4.1895
2/1/1965,4.027222222,4.211111111
3/1/1965,4.063478261,4.210434783
4/1/1965,4.036666667,4.203809524
5/1/1965,4.0305,4.2115
6/1/1965,3.989545455,4.213181818
7/1/1965,3.984761905,4.204761905
8/1/1965,4.068636364,4.252272727
9/1/1965,4.204761905,4.29047619
10/1/1965,4.298,4.3495
11/1/1965,4.374736842,4.448947368
12/1/1965,4.717272727,4.615454545
1/1/1966,4.876666667,4.612380952
2/1/1966,4.942105263,4.832105263
3/1/1966,4.970434783,4.873478261
4/1/1966,4.8995,4.75
5/1/1966,4.934761905,4.778571429
6/1/1966,4.965454545,4.814545455
7/1/1966,5.1725,5.018
8/1/1966,5.544347826,5.224347826
9/1/1966,5.821904762,5.182380952
10/1/1966,5.5795,5.0115
11/1/1966,5.542105263,5.155263158
12/1/1966,5.204761905,4.842857143
1/1/1967,4.746190476,4.579047619
2/1/1967,4.713333333,4.626666667
3/1/1967,4.350909091,4.541818182
4/1/1967,4.105,4.5935
5/1/1967,4.154545455,4.847727273
6/1/1967,4.475909091,5.022727273
7/1/1967,5.009,5.159
8/1/1967,5.130869565,5.275652174
9/1/1967,5.2415,5.302
10/1/1967,5.374761905,5.480952381
11/1/1967,5.6075,5.7535
12/1/1967,5.7095,5.699
1/1/1968,5.428636364,5.528636364
2/1/1968,5.414736842,5.563684211
3/1/1968,5.581428571,5.74
4/1/1968,5.7105,5.6385
5/1/1968,6.142272727,5.869545455
6/1/1968,5.9825,5.718
7/1/1968,5.650909091,5.495454545
8/1/1968,5.428181818,5.420454545
9/1/1968,5.445,5.46
10/1/1968,5.570434783,5.582608696
11/1/1968,5.746111111,5.696111111
12/1/1968,6.193333333,6.031904762
1/1/1969,6.339545455,6.041818182
2/1/1969,6.412631579,6.188947368
3/1/1969,6.3405,6.296
4/1/1969,6.257142857,6.173333333
5/1/1969,6.423809524,6.323333333
6/1/1969,7.041904762,6.574285714
7/1/1969,7.604285714,6.71952381
8/1/1969,7.537619048,6.691428571
9/1/1969,7.816666667,7.15952381
10/1/1969,7.638636364,7.095454545
11/1/1969,7.89,7.144117647
12/1/1969,8.166818182,7.654090909
1/1/1970,8.102857143,7.794761905
2/1/1970,7.586666667,7.238333333
3/1/1970,6.965714286,7.072857143
4/1/1970,7.055,7.390909091
5/1/1970,7.750952381,7.906190476
6/1/1970,7.548181818,7.841818182
7/1/1970,7.102272727,7.457272727
8/1/1970,6.984761905,7.527142857
9/1/1970,6.727142857,7.38952381
10/1/1970,6.426190476,7.326666667
11/1/1970,5.511666667,6.841111111
12/1/1970,4.997727273,6.391363636
1/1/1971,4.5675,6.2385
2/1/1971,3.885,6.112222222
3/1/1971,3.687391304,5.703478261
4/1/1971,4.304761905,5.833809524
5/1/1971,5.036,6.3925
6/1/1971,5.642727273,6.522272727
7/1/1971,6.041428571,6.72952381
8/1/1971,5.804090909,6.582727273
9/1/1971,5.408095238,6.13952381
10/1/1971,4.912631579,5.925789474
11/1/1971,4.6665,5.81
12/1/1971,4.604545455,5.926363636
1/1/1972,4.278095238,5.947619048
2/1/1972,4.272,6.081
3/1/1972,4.67,6.068636364
4/1/1972,4.9645,6.1945
5/1/1972,4.640909091,6.126363636
6/1/1972,4.928636364,6.106818182
7/1/1972,4.9645,6.113
8/1/1972,4.983043478,6.210434783
9/1/1972,5.524,6.5495
10/1/1972,5.5215,6.4795
11/1/1972,5.2735,6.2805
12/1/1972,5.5185,6.3585
1/1/1973,5.891363636,6.464545455
2/1/1973,6.188888889,6.635555556
3/1/1973,6.85,6.709090909
4/1/1973,6.8465,6.6685
5/1/1973,6.893636364,6.847272727
6/1/1973,7.307619048,6.9
7/1/1973,8.389047619,7.130952381
8/1/1973,8.822608696,7.404782609
9/1/1973,8.306315789,7.090526316
10/1/1973,7.396190476,6.794285714
11/1/1973,7.569,6.7285
12/1/1973,7.270526316,6.743684211
1/1/1974,7.420909091,6.988636364
2/1/1974,6.883333333,6.957222222
3/1/1974,7.75952381,7.209047619
4/1/1974,8.621904762,7.512380952
5/1/1974,8.782272727,7.575909091
6/1/1974,8.6695,7.5355
7/1/1974,8.795,7.805
8/1/1974,9.362727273,8.044090909
9/1/1974,8.8745,8.0375
10/1/1974,8.045909091,7.896818182
11/1/1974,7.655555556,7.681111111
12/1/1974,7.306190476,7.433809524
1/1/1975,6.832272727,7.501363636
2/1/1975,5.984444444,7.392222222
3/1/1975,6.105,7.728
4/1/1975,6.904090909,8.226818182
5/1/1975,6.38952381,8.05952381
6/1/1975,6.287142857,7.860952381
7/1/1975,7.112727273,8.061363636
8/1/1975,7.701904762,8.397619048
9/1/1975,7.75,8.426666667
10/1/1975,6.950454545,8.137727273
11/1/1975,6.487058824,8.052941176
12/1/1975,6.600909091,7.996818182
1/1/1976,5.805714286,7.742380952
2/1/1976,5.907777778,7.792777778
3/1/1976,6.211304348,7.734347826
4/1/1976,5.923333333,7.564285714
5/1/1976,6.4015,7.895
6/1/1976,6.520909091,7.861363636
7/1/1976,6.20047619,7.831904762
8/1/1976,6.002727273,7.768636364
9/1/1976,5.844285714,7.594285714
10/1/1976,5.4965,7.411
11/1/1976,5.294210526,7.291052632
12/1/1976,4.893181818,6.869090909
1/1/1977,5.290952381,7.213333333
2/1/1977,5.467368421,7.391052632
3/1/1977,5.500434783,7.46
4/1/1977,5.441,7.3705
5/1/1977,5.843809524,7.456666667
6/1/1977,5.798181818,7.275454545
7/1/1977,5.936842105,7.33
8/1/1977,6.369565217,7.396521739
9/1/1977,6.526666667,7.343809524
10/1/1977,6.965,7.5235
11/1/1977,6.954736842,7.577368421
12/1/1977,6.957619048,7.685238095
1/1/1978,7.283333333,7.956190476
2/1/1978,7.337777778,8.033333333
3/1/1978,7.310454545,8.035909091
4/1/1978,7.4545,8.154
5/1/1978,7.82,8.345714286
6/1/1978,8.094545455,8.462272727
7/1/1978,8.3915,8.64
8/1/1978,8.312608696,8.410869565
9/1/1978,8.6385,8.4165
10/1/1978,9.136666667,8.642380952
11/1/1978,10.014,8.805
12/1/1978,10.2955,9.0065
1/1/1979,10.41454545,9.099545455
2/1/1979,10.23666667,9.098333333
3/1/1979,10.24954545,9.117272727
4/1/1979,10.122,9.182
5/1/1979,10.11761905,9.252380952
6/1/1979,9.573809524,8.913809524
7/1/1979,9.643809524,8.95
8/1/1979,9.98,9.029565217
9/1/1979,10.84473684,9.334736842
10/1/1979,12.44409091,10.29909091
11/1/1979,12.39052632,10.65315789
12/1/1979,11.9825,10.386
1/1/1980,12.05727273,10.80227273
2/1/1980,13.92210526,12.41473684
3/1/1980,15.81761905,12.74904762
4/1/1980,13.29904762,11.47333333
5/1/1980,9.38952381,10.18142857
6/1/1980,8.156190476,9.778095238
7/1/1980,8.646818182,10.24772727
8/1/1980,10.24238095,11.10190476
9/1/1980,11.52142857,11.50857143
10/1/1980,12.49045455,11.75136364
11/1/1980,14.15058824,12.68470588
12/1/1980,14.88090909,12.84409091
1/1/1981,14.0847619,12.56857143
2/1/1981,14.56833333,13.19444444
3/1/1981,13.71090909,13.11590909
4/1/1981,14.32190476,13.67952381
5/1/1981,16.1965,14.0995
6/1/1981,14.85909091,13.47227273
7/1/1981,15.71863636,14.28090909
8/1/1981,16.71857143,14.93714286
9/1/1981,16.52285714,15.32380952
10/1/1981,15.38142857,15.14809524
11/1/1981,12.40833333,13.39277778
12/1/1981,12.85,13.72454545
1/1/1982,14.318,14.594
2/1/1982,14.73388889,14.42555556
3/1/1982,13.94913043,13.86130435
4/1/1982,13.97952381,13.87190476
5/1/1982,13.3435,13.6225
6/1/1982,14.065,14.29954545
7/1/1982,13.23666667,13.94619048
8/1/1982,11.42818182,13.055
9/1/1982,10.85380952,12.33904762
10/1/1982,9.317,10.9065
11/1/1982,9.159473684,10.55052632
12/1/1982,8.906818182,10.54
1/1/1983,8.621904762,10.45714286
2/1/1983,8.922631579,10.72473684
3/1/1983,9.043478261,10.50652174
4/1/1983,8.979,10.4
5/1/1983,8.904285714,10.38
6/1/1983,9.657272727,10.84863636
7/1/1983,10.197,11.377
8/1/1983,10.52869565,11.84608696
9/1/1983,10.15619048,11.65380952
10/1/1983,9.805,11.541
11/1/1983,9.937368421,11.69
12/1/1983,10.10904762,11.82952381
1/1/1984,9.901428571,11.67428571
2/1/1984,10.04315789,11.84210526
3/1/1984,10.58909091,12.31909091
4/1/1984,10.9045,12.6335
5/1/1984,11.65727273,13.40863636
6/1/1984,12.08380952,13.56285714
7/1/1984,12.02619048,13.36238095
8/1/1984,11.82217391,12.71608696
9/1/1984,11.57947368,12.52263158
10/1/1984,10.89545455,12.16045455
11/1/1984,9.815789474,11.57263158
12/1/1984,9.3335,11.4995
1/1/1985,9.024285714,11.38428571
2/1/1985,9.291666667,11.50888889
3/1/1985,9.863809524,11.8552381
4/1/1985,9.140952381,11.4347619
5/1/1985,8.464545455,10.84681818
6/1/1985,7.8045,10.156
7/1/1985,7.856363636,10.30681818
8/1/1985,8.047272727,10.33181818
9/1/1985,8.065263158,10.37315789
10/1/1985,8.010909091,10.23681818
11/1/1985,7.878421053,9.781578947
12/1/1985,7.674761905,9.259047619
1/1/1986,7.728571429,9.193809524
2/1/1986,7.613157895,8.704210526
3/1/1986,7.029,7.7785
4/1/1986,6.440454545,7.299090909
5/1/1986,6.649047619,7.70952381
6/1/1986,6.732380952,7.79952381
7/1/1986,6.265909091,7.303181818
8/1/1986,5.932380952,7.165714286
9/1/1986,5.774285714,7.447619048
10/1/1986,5.720909091,7.426363636
11/1/1986,5.798333333,7.250555556
12/1/1986,5.874545455,7.112727273
1/1/1987,5.7785,7.0845
2/1/1987,5.958947368,7.250526316
3/1/1987,6.033181818,7.248636364
4/1/1987,6.504285714,8.022857143
5/1/1987,7.0035,8.613
6/1/1987,6.795454545,8.402272727
7/1/1987,6.683181818,8.446818182
8/1/1987,7.025238095,8.76047619
9/1/1987,7.668095238,9.421904762
10/1/1987,7.593333333,9.52
11/1/1987,6.964736842,8.860526316
12/1/1987,7.173181818,8.987727273
1/1/1988,6.988947368,8.665789474
2/1/1988,6.64,8.212
3/1/1988,6.706521739,8.373478261
4/1/1988,7.008,8.7185
5/1/1988,7.397142857,9.089047619
6/1/1988,7.489545455,8.921363636
7/1/1988,7.754,9.056
8/1/1988,8.170434783,9.260434783
9/1/1988,8.093333333,8.977142857
10/1/1988,8.1095,8.7955
11/1/1988,8.476,8.9625
12/1/1988,8.991904762,9.105714286
1/1/1989,9.0475,9.0915
2/1/1989,9.253157895,9.168947368
3/1/1989,9.570454545,9.357727273
4/1/1989,9.363,9.1755
5/1/1989,8.977272727,8.859090909
6/1/1989,8.440909091,8.277272727
7/1/1989,7.8945,8.0185
8/1/1989,8.183913043,8.112608696
9/1/1989,8.221,8.1905
10/1/1989,7.990952381,8.007619048
11/1/1989,7.76952381,7.874285714
12/1/1989,7.723,7.836
1/1/1990,7.920952381,8.206666667
2/1/1990,8.111052632,8.473157895
3/1/1990,8.35,8.588636364
4/1/1990,8.4045,8.7855
5/1/1990,8.316363636,8.758181818
6/1/1990,8.096190476,8.48
7/1/1990,7.940952381,8.471428571
8/1/1990,7.779130435,8.752608696
9/1/1990,7.763157895,8.893157895
10/1/1990,7.551363636,8.719545455
11/1/1990,7.3135,8.392
12/1/1990,7.0505,8.075
1/1/1991,6.644285714,8.091904762
2/1/1991,6.266842105,7.854736842
3/1/1991,6.396,8.11
4/1/1991,6.235909091,8.039090909
5/1/1991,6.130454545,8.067727273
6/1/1991,6.3585,8.284
7/1/1991,6.305454545,8.272727273
8/1/1991,5.778181818,7.9
9/1/1991,5.5725,7.65
10/1/1991,5.333636364,7.527272727
11/1/1991,4.889473684,7.417368421
12/1/1991,4.378095238,7.088571429
1/1/1992,4.150952381,7.032380952
2/1/1992,4.287368421,7.337894737
3/1/1992,4.634545455,7.542272727
4/1/1992,4.299047619,7.48047619
5/1/1992,4.1895,7.392
6/1/1992,4.165909091,7.261818182
7/1/1992,3.595909091,6.844545455
8/1/1992,3.471904762,6.585714286
9/1/1992,3.184285714,6.415238095
10/1/1992,3.302380952,6.589047619
11/1/1992,3.682105263,6.873157895
12/1/1992,3.711363636,6.77
1/1/1993,3.496315789,6.6
2/1/1993,3.385789474,6.258947368
3/1/1993,3.333043478,5.975217391
4/1/1993,3.244285714,5.96952381
5/1/1993,3.3635,6.0355
6/1/1993,3.536363636,5.962727273
7/1/1993,3.474761905,5.805238095
8/1/1993,3.443636364,5.677727273
9/1/1993,3.356190476,5.36
10/1/1993,3.392,5.334
11/1/1993,3.579,5.724
12/1/1993,3.607272727,5.774090909
1/1/1994,3.5425,5.7505
2/1/1994,3.865789474,5.973157895
3/1/1994,4.319130435,6.482608696
4/1/1994,4.815789474,6.972105263
5/1/1994,5.314285714,7.183333333
6/1/1994,5.267272727,7.101363636
7/1/1994,5.4765,7.298
8/1/1994,5.562173913,7.236086957
9/1/1994,5.762857143,7.457142857
10/1/1994,6.1145,7.744
11/1/1994,6.54,7.955
12/1/1994,7.136190476,7.813809524
1/1/1995,7.0505,7.7795
2/1/1995,6.696842105,7.469473684
3/1/1995,6.43173913,7.204782609
4/1/1995,6.265789474,7.062631579
5/1/1995,5.997727273,6.632727273
6/1/1995,5.642272727,6.168181818
7/1/1995,5.594,6.278
8/1/1995,5.752608696,6.48826087
9/1/1995,5.62,6.1975
10/1/1995,5.59047619,6.044761905
11/1/1995,5.432857143,5.93047619
12/1/1995,5.307,5.7115
1/1/1996,5.087619048,5.652380952
2/1/1996,4.942,5.8055
3/1/1996,5.342380952,6.268571429
4/1/1996,5.537727273,6.511363636
5/1/1996,5.636818182,6.736818182
6/1/1996,5.81,6.912
7/1/1996,5.850909091,6.865454545
8/1/1996,5.666818182,6.635454545
9/1/1996,5.833,6.832
10/1/1996,5.55,6.533636364
11/1/1996,5.423157895,6.203684211
12/1/1996,5.471904762,6.302380952
1/1/1997,5.612380952,6.579047619
2/1/1997,5.525263158,6.419473684
3/1/1997,5.7955,6.6945
4/1/1997,5.988181818,6.885454545
5/1/1997,5.86952381,6.710952381
6/1/1997,5.691904762,6.493809524
7/1/1997,5.541818182,6.220454545
8/1/1997,5.564761905,6.298571429
9/1/1997,5.523809524,6.208571429
10/1/1997,5.456363636,6.029545455
11/1/1997,5.457222222,5.875
12/1/1997,5.525,5.808636364
1/1/1998,5.2445,5.5445
2/1/1998,5.308421053,5.574736842
3/1/1998,5.389545455,5.647272727
4/1/1998,5.379047619,5.637619048
5/1/1998,5.44,5.6525
6/1/1998,5.408636364,5.496363636
7/1/1998,5.358181818,5.461363636
8/1/1998,5.205238095,5.341904762
9/1/1998,4.710952381,4.806666667
10/1/1998,4.121428571,4.53
11/1/1998,4.525263158,4.827368421
12/1/1998,4.518636364,4.645
1/1/1999,4.514210526,4.722105263
2/1/1999,4.702631579,4.998947368
3/1/1999,4.781304348,5.232608696
4/1/1999,4.69,5.184545455
5/1/1999,4.849,5.5395
6/1/1999,5.096818182,5.899545455
7/1/1999,5.031904762,5.791904762
8/1/1999,5.197727273,5.939090909
9/1/1999,5.251428571,5.915238095
10/1/1999,5.429,6.112
11/1/1999,5.5535,6.034
12/1/1999,5.842272727,6.275454545
1/1/2000,6.1215,6.661
2/1/2000,6.218,6.5195
3/1/2000,6.222173913,6.256521739
4/1/2000,6.150526316,5.990526316
5/1/2000,6.326363636,6.440454545
6/1/2000,6.172727273,6.097272727
7/1/2000,6.0825,6.054
8/1/2000,6.183043478,5.826086957
9/1/2000,6.1255,5.799
10/1/2000,6.012380952,5.738571429
11/1/2000,6.091904762,5.717142857
12/1/2000,5.6025,5.2405
1/1/2001,4.814761905,5.160952381
2/1/2001,4.684210526,5.098947368
3/1/2001,4.298636364,4.885454545
4/1/2001,3.9765,5.141
5/1/2001,3.781363636,5.391363636
6/1/2001,3.576190476,5.284285714
7/1/2001,3.617142857,5.236190476
8/1/2001,3.470434783,4.971304348
9/1/2001,2.824705882,4.731764706
10/1/2001,2.330454545,4.566818182
11/1/2001,2.182,4.6515
12/1/2001,2.2155,5.0875
1/1/2002,2.158571429,5.035714286
2/1/2002,2.232631579,4.911578947
3/1/2002,2.567,5.284
4/1/2002,2.475909091,5.210909091
5/1/2002,2.354090909,5.164545455
6/1/2002,2.1965,4.9265
7/1/2002,1.960909091,4.653181818
8/1/2002,1.757272727,4.257272727
9/1/2002,1.715,3.87
10/1/2002,1.65,3.940909091
11/1/2002,1.491578947,4.048421053
12/1/2002,1.45,4.032380952
